level_0,level_1,level_2,L2_data
0,26,7,4.198626215030498e-05
0,26,8,3.780441567221329e-05
0,26,9,2.9774849535456315e-05
0,26,10,2.5201213204407242e-05
0,26,11,2.7916771955879592e-05
0,26,12,3.504099057591362e-05
0,26,13,3.937911709489541e-05
0,26,14,3.6315777340945804e-05
0,26,15,2.7909959522733305e-05
0,26,16,2.1152447814731637e-05
0,26,17,2.0701989782272304e-05
0,26,18,2.4503066321166074e-05
0,26,19,2.542387160954068e-05
0,26,20,1.8486911672575037e-05
0,26,21,5.780619987853509e-06
0,26,22,-4.3234778963525915e-06
0,26,23,-4.4126202474844895e-06
0,26,24,5.879327507354483e-06
0,27,0,1.4219639779176425e-05
0,27,1,1.3646019534315095e-05
0,27,2,1.554467477305448e-05
0,27,3,1.9624841337022695e-05
0,27,4,2.4177631066676708e-05
0,27,5,2.70741744880374e-05
0,27,6,2.7099219929607016e-05
0,27,7,2.4641801429364482e-05
0,27,8,2.161642456042838e-05
0,27,9,2.0172460632858814e-05
0,27,10,2.1294220693233273e-05
0,27,11,2.3669278942225106e-05
0,27,12,2.44567738381444e-05
0,27,13,2.141590885852345e-05
0,27,14,1.5189616353801076e-05
0,27,15,9.1948789527543e-06
0,27,16,7.166617882528124e-06
0,27,17,9.67679796865171e-06
0,27,18,1.3522915247608405e-05
0,27,19,1.4464869563761294e-05
0,27,20,1.132865676692141e-05
0,27,21,7.174583453236444e-06
0,27,22,6.7200877786030965e-06
0,27,23,1.1883780451424856e-05
0,27,24,2.00633853053719e-05
0,28,0,9.796927476453646e-06
0,28,1,1.1121759296862546e-05
0,28,2,1.3971057028921498e-05
0,28,3,1.7031510560050733e-05
0,28,4,1.900657629255135e-05
0,28,5,1.9912118901079712e-05
0,28,6,2.122089256347536e-05
0,28,7,2.3922997366480026e-05
0,28,8,2.7354464488543422e-05
0,28,9,2.9350308286394082e-05
0,28,10,2.8547871122245918e-05
0,28,11,2.5560864072613918e-05
0,28,12,2.275155992665999e-05
0,28,13,2.180674833251398e-05
0,28,14,2.2437051580595957e-05
0,28,15,2.2358613060293644e-05
0,28,16,1.9622779663780893e-05
0,28,17,1.4014609958685272e-05
0,28,18,7.610243008144686e-06
0,28,19,2.9904419957162512e-06
0,28,20,1.897031292948597e-06
0,28,21,3.981587007279211e-06
0,28,22,7.661652192576375e-06
0,28,23,1.0826548123139522e-05
0,28,24,1.2382732418398292e-05
1,0,0,2.9603596894708017e-07
1,0,1,-2.1457564401874258e-06
1,0,2,-4.186726813104905e-06
1,0,3,-4.786657108336362e-06
1,0,4,-3.544856429273827e-06
1,0,5,-1.123644586511519e-06
1,0,6,1.128108446948304e-06
1,0,7,2.127002499259251e-06
1,0,8,1.8948816420530704e-06
1,0,9,1.4926394398532755e-06
1,0,10,2.0889550649875357e-06
1,0,11,3.926275935207444e-06
1,0,12,6.220710177100409e-06
1,0,13,8.056595874159499e-06
1,0,14,9.371205988707237e-06
1,0,15,1.0853900640110992e-05
1,0,16,1.2857406512058313e-05
1,0,17,1.4537739995520325e-05
1,0,18,1.4474949692649849e-05
1,0,19,1.2223628965591135e-05
1,0,20,9.19512065868744e-06
1,0,21,7.4850297447422844e-06
1,0,22,7.658495143073114e-06
1,0,23,7.82770997714217e-06
1,0,24,5.418378330716512e-06
1,1,0,-6.5742854763437015e-06
1,1,1,-1.0846940275465662e-05
1,1,2,-1.4432831834744527e-05
1,1,3,-1.5329085559699186e-05
1,1,4,-1.3320542055187597e-05
1,1,5,-1.0200123392235164e-05
1,1,6,-8.21694657885685e-06
1,1,7,-8.521151166213456e-06
1,1,8,-1.0491814733325928e-05
1,1,9,-1.2655257408082776e-05
1,1,10,-1.3773767933266268e-05
1,1,11,-1.3526793182175789e-05
1,1,12,-1.2077357028237239e-05
1,1,13,-9.707644588758167e-06
1,1,14,-6.592518799448675e-06
1,1,15,-3.4094164486638166e-06
1,1,16,-1.3860235758131212e-06
1,1,17,-1.8433042385014246e-06
1,1,18,-4.887569381505182e-06
1,1,19,-8.993248586826256e-06
1,1,20,-1.1612903747958556e-05
1,1,21,-1.1203112887396765e-05
1,1,22,-8.46568429175382e-06
